ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
600030.SH,20220329,20211231,中央汇金资产管理有限责任公司,178388664.0,1.38,1.8176,-20320436.0,资产管理公司
600030.SH,20220329,20211231,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,166146038.0,1.2853,1.6928,910268.0,开放式投资基金
600030.SH,20220329,20211231,大成基金-农业银行-大成中证金融资产管理计划,153726217.0,1.1892,1.5663,0.0,基金专户理财
600030.SH,20220329,20211231,华夏基金-农业银行-华夏中证金融资产管理计划,144472197.0,1.1176,1.472,0.0,基金专户理财
600030.SH,20220329,20211231,中欧基金-农业银行-中欧中证金融资产管理计划,140178900.0,1.0844,1.4283,0.0,基金专户理财
600030.SH,20211029,20210930,广州越秀金融控股集团有限公司,544514633.0,4.2123,0.0,0.0,一般企业
600030.SH,20211029,20210930,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,0.0,0.0,一般企业
600030.SH,20210820,20210630,广州越秀金融控股集团有限公司,544514633.0,4.2123,0.0,0.0,一般企业
600030.SH,20210820,20210630,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,0.0,0.0,一般企业
600030.SH,20210820,20210630,香港中央结算(代理人)有限公司,2277338662.0,17.6172,,-18065.0,一般企业
600030.SH,20210820,20210630,中国中信有限公司,1999695746.0,15.4694,20.3746,0.0,一般企业
600030.SH,20210820,20210630,香港中央结算有限公司,346826847.0,2.683,3.5338,46685434.0,一般企业
600030.SH,20210820,20210630,中央汇金资产管理有限责任公司,198709100.0,1.5372,2.0246,0.0,资产管理公司
600030.SH,20210820,20210630,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,158862355.0,1.2289,1.6186,-32534624.0,开放式投资基金
600030.SH,20210820,20210630,大成基金-农业银行-大成中证金融资产管理计划,153726217.0,1.1892,1.5663,0.0,基金专户理财
600030.SH,20210820,20210630,华夏基金-农业银行-华夏中证金融资产管理计划,144472197.0,1.1176,1.472,0.0,基金专户理财
600030.SH,20210820,20210630,中欧基金-农业银行-中欧中证金融资产管理计划,140178900.0,1.0844,1.4283,0.0,基金专户理财
600030.SH,20210429,20210331,广州越秀金融控股集团有限公司,544514633.0,4.2123,0.0,0.0,一般企业
600030.SH,20210429,20210331,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,0.0,0.0,一般企业
600030.SH,20210319,20201231,香港中央结算(代理人)有限公司,2277352769.0,17.6173,,-503.0,一般企业
600030.SH,20210319,20201231,中国中信有限公司,1999695746.0,15.4694,20.3746,0.0,一般企业
600030.SH,20210319,20201231,中国证券金融股份有限公司,362296197.0,2.8027,3.6914,0.0,金融机构—证券公司
600030.SH,20210319,20201231,香港中央结算有限公司,308251199.0,2.3846,3.1407,12519496.0,一般企业
600030.SH,20210319,20201231,中央汇金资产管理有限责任公司,198709100.0,1.5372,2.0246,0.0,资产管理公司
600030.SH,20210319,20201231,中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金,183265129.0,1.4177,1.8673,14669900.0,开放式投资基金
600030.SH,20210319,20201231,大成基金-农业银行-大成中证金融资产管理计划,153726217.0,1.1892,1.5663,0.0,基金专户理财
600030.SH,20210319,20201231,华夏基金-农业银行-华夏中证金融资产管理计划,144472197.0,1.1176,1.472,0.0,基金专户理财
600030.SH,20210319,20201231,广州越秀金融控股集团有限公司,544514633.0,4.2123,0.0,0.0,一般企业
600030.SH,20210319,20201231,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,0.0,0.0,一般企业
600030.SH,20201030,20200930,广州越秀金融控股集团有限公司,544514633.0,4.2123,,0.0,一般企业
600030.SH,20201030,20200930,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,,0.0,一般企业
600030.SH,20200825,20200630,广州越秀金融控股集团有限公司,544514633.0,4.2123,,0.0,一般企业
600030.SH,20200825,20200630,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,,0.0,一般企业
600030.SH,20200429,20200331,广州越秀金融控股集团有限公司,544514633.0,4.2123,,0.0,一般企业
600030.SH,20200429,20200331,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,,0.0,一般企业
600030.SH,20200313,20200311,香港中央结算(代理人)有限公司,2277209267.0,17.6162,,515000.0,一般企业
600030.SH,20200313,20200311,中国中信有限公司,1999695746.0,15.4694,,0.0,一般企业
600030.SH,20200313,20200311,广州越秀金融控股集团有限公司,544514633.0,4.2123,,,一般企业
600030.SH,20200313,20200311,中国证券金融股份有限公司,362296197.0,2.8027,,0.0,金融机构—证券公司
600030.SH,20200313,20200311,广州越秀金融控股集团股份有限公司,265352996.0,2.0527,,,一般企业
600030.SH,20200313,20200311,香港中央结算有限公司,242525779.0,1.8762,,-13289592.0,一般企业
600030.SH,20200313,20200311,中央汇金资产管理有限责任公司,198709100.0,1.5372,,0.0,资产管理公司
600030.SH,20200313,20200311,大成基金-农业银行-大成中证金融资产管理计划,153726217.0,1.1892,,0.0,基金专户理财
