ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20151229,19.56,30.0,586.8,中国国际金融有限公司北京建国门外大街证券营业部,中国国际金融有限公司上海淮海中路证券营业部
600030.SH,20151203,19.8,550.0,10890.0,国元证券股份有限公司上海中山北路证券营业部,机构专用
600030.SH,20151126,20.09,100.0,2009.0,中国国际金融有限公司北京建国门外大街证券营业部,中国国际金融有限公司上海淮海中路证券营业部
600030.SH,20150921,13.78,35.0,482.3,中国国际金融有限公司北京建国门外大街证券营业部,中国国际金融有限公司上海淮海中路证券营业部
600030.SH,20150817,22.43,31.0,695.33,齐鲁证券有限公司深圳吉祥路证券营业部,财富证券有限责任公司长沙韶山北路证券营业部
600030.SH,20150708,23.43,24.02,562.76,申银万国证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20150703,24.0,500.0,12000.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司北京建国门外大街证券营业部
600030.SH,20150605,31.89,161.73,5157.57,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20150520,33.01,40.0,1320.4,宏源证券股份有限公司深圳福华一路证券营业部,五矿证券有限公司深圳金田路证券营业部
600030.SH,20150518,28.8,165.0,4752.0,湘财证券股份有限公司长沙韶山路证券营业部,中信建投证券股份有限公司北京市东直门南大街证券营业部
600030.SH,20150514,36.6,110.0,4026.0,中信建投证券股份有限公司北京市东直门南大街证券营业部,华泰证券股份有限公司北京广渠门内大街证券营业部
600030.SH,20150507,29.95,17.0,509.15,中信建投证券股份有限公司北京亦庄荣华中路证券营业部,兴业证券股份有限公司武汉青年路证券营业部
600030.SH,20150408,36.08,115.0,4149.2,申银万国证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20150324,36.55,11.5,420.33,东方证券股份有限公司上海肇嘉浜路证券营业部,财通证券股份有限公司上海漕溪路证券营业部
600030.SH,20150116,30.03,40.0,1201.2,中信建投证券股份有限公司青岛瞿塘峡路证券营业部,中信建投证券股份有限公司北京市东直门南大街证券营业部
600030.SH,20150105,30.52,21.26,648.86,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20150105,30.55,81.82,2499.6,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20150105,30.54,98.22,2999.64,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20150105,30.56,49.08,1499.88,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20150105,30.55,32.73,999.9,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20150105,30.53,98.24,2999.27,华泰证券股份有限公司南京广州路证券营业部,财通证券股份有限公司杭州体育馆证券营业部
600030.SH,20141230,33.46,31.86,1066.08,海通证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20141229,32.19,83.74,2695.59,海通证券股份有限公司国际部,北京高华证券有限责任公司北京金融大街证券营业部
600030.SH,20141217,32.75,200.0,6550.0,申银万国证券股份有限公司国际部,海通证券股份有限公司国际部
600030.SH,20141209,28.0,34.9,977.2,国泰君安证券股份有限公司总部,海通证券股份有限公司国际部
600030.SH,20141209,28.0,22.68,635.04,国泰君安证券股份有限公司总部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20141128,17.26,53.29,919.79,东方证券股份有限公司东方资财,北京高华证券有限责任公司北京金融大街证券营业部
600030.SH,20141121,15.57,59.24,922.37,东方证券股份有限公司东方资财,北京高华证券有限责任公司北京金融大街证券营业部
600030.SH,20141029,12.94,74.7,966.62,瑞银证券有限责任公司上海花园石桥路证券营业部,东方证券股份有限公司东方资财
600030.SH,20140924,13.49,270.0,3642.3,瑞银证券有限责任公司上海花园石桥路证券营业部,东方证券股份有限公司东方资财
600030.SH,20140923,13.05,63.8,832.59,瑞银证券有限责任公司上海花园石桥路证券营业部,瑞银证券有限责任公司上海花园石桥路证券营业部
600030.SH,20140910,13.28,31.44,417.52,瑞银证券有限责任公司上海花园石桥路证券营业部,海通证券股份有限公司国际部
600030.SH,20140714,11.57,182.04,2106.2,瑞银证券有限责任公司上海花园石桥路证券营业部,中国国际金融有限公司上海淮海中路证券营业部
