ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20100108,1187.322,1181.636,1212.378,1137.274,1175.264,12.058,0.0103,2117515502.0,51716774446.0
399975.SZ,20100115,1161.187,1265.051,1265.051,1142.723,1187.322,-26.135,-0.022,2579684071.0,62972266497.0
399975.SZ,20100122,1084.989,1146.425,1150.868,1060.88,1161.187,-76.198,-0.0656,1768399922.0,42259722233.0
399975.SZ,20100129,1045.318,1079.319,1104.359,1033.994,1084.989,-39.671,-0.0366,969982891.0,21285959190.0
399975.SZ,20100205,989.885,1035.939,1035.939,979.753,1045.318,-55.433,-0.053,1140491375.0,24303558633.0
399975.SZ,20100212,1033.754,989.807,1036.653,988.459,989.885,43.869,0.0443,740197354.0,15507758937.0
399975.SZ,20100226,1027.241,1039.612,1051.914,1000.177,1033.754,-6.513,-0.0063,865163381.0,18155531080.0
399975.SZ,20100305,1022.279,1025.813,1042.553,1003.013,1027.241,-4.962,-0.0048,917307973.0,19380919450.0
399975.SZ,20100312,1033.65,1025.216,1050.072,1011.042,1022.279,11.371,0.0111,945294891.0,20386672122.0
399975.SZ,20100319,1046.015,1036.298,1051.718,1020.262,1033.65,12.365,0.012,869958842.0,18712271711.0
399975.SZ,20100326,1012.124,1052.521,1052.521,997.331,1046.015,-33.891,-0.0324,855987184.0,17976751517.0
399975.SZ,20100402,1045.352,1022.143,1050.503,1022.143,1012.124,33.228,0.0328,1077781038.0,23534482591.0
399975.SZ,20100409,1029.852,1048.002,1058.088,1020.394,1045.352,-15.5,-0.0148,754458366.0,15997450264.0
399975.SZ,20100416,1035.51,1029.331,1054.604,1010.988,1029.852,5.658,0.0055,1065731402.0,22396643912.0
399975.SZ,20100423,974.409,1030.827,1030.827,970.859,1035.51,-61.101,-0.059,747562221.0,11815645684.0
399975.SZ,20100430,959.009,974.64,975.209,943.517,974.409,-15.4,-0.0158,540470717.0,7970446216.0
399975.SZ,20100507,793.581,897.737,901.891,791.205,959.009,-165.428,-0.1725,918760438.0,17145309802.0
399975.SZ,20100514,771.085,792.911,813.832,746.278,793.581,-22.496,-0.0283,890257709.0,14593469783.0
399975.SZ,20100521,718.895,758.291,758.291,685.294,771.085,-52.19,-0.0677,816659564.0,12603518791.0
399975.SZ,20100528,745.879,724.957,767.548,724.957,718.895,26.984,0.0375,968185599.0,15040040296.0
399975.SZ,20100604,721.658,739.202,741.256,693.77,745.879,-24.221,-0.0325,737481648.0,10964325521.0
399975.SZ,20100611,726.193,703.408,737.786,699.119,721.658,4.535,0.0063,746830543.0,11352534557.0
399975.SZ,20100618,713.34,729.333,729.333,711.193,726.193,-12.853,-0.0177,168625577.0,2444383645.0
399975.SZ,20100625,719.39,714.653,750.567,714.078,713.34,6.05,0.0085,635102624.0,9514486190.0
399975.SZ,20100702,642.727,718.456,719.464,622.743,719.39,-76.663,-0.1066,767074323.0,9264612181.0
399975.SZ,20100709,653.762,633.647,655.393,622.397,642.727,11.035,0.0172,841471245.0,10503599614.0
399975.SZ,20100716,630.722,653.243,664.188,623.62,653.762,-23.04,-0.0352,859646230.0,10789423871.0
399975.SZ,20100723,690.377,623.629,692.41,623.629,630.722,59.655,0.0946,1533655181.0,19608238237.0
399975.SZ,20100730,713.577,691.893,728.97,679.681,690.377,23.2,0.0336,1696565114.0,22570785864.0
399975.SZ,20100806,723.525,713.603,731.219,695.168,713.577,9.948,0.0139,1433749705.0,19352290392.0
399975.SZ,20100813,684.268,721.187,725.661,673.415,723.525,-39.257,-0.0543,1161418836.0,15405989132.0
399975.SZ,20100820,691.652,682.752,719.607,681.168,684.268,7.384,0.0108,1344006784.0,17948963844.0
399975.SZ,20100827,670.082,689.869,700.27,665.603,691.652,-21.57,-0.0312,900042697.0,11672619054.0
399975.SZ,20100903,664.347,672.997,688.345,661.934,670.082,-5.735,-0.0086,1170230908.0,14910745284.0
399975.SZ,20100910,670.625,667.856,699.576,663.718,664.347,6.278,0.0094,1515448038.0,20649857449.0
399975.SZ,20100917,645.682,668.175,681.66,644.663,670.625,-24.943,-0.0372,1044313412.0,13711111851.0
399975.SZ,20100921,638.318,646.279,646.279,635.414,645.682,-7.364,-0.0114,236569137.0,2941093031.0
399975.SZ,20100930,637.114,640.644,643.442,623.835,638.318,-1.204,-0.0019,632948430.0,7584529092.0
399975.SZ,20101008,668.181,643.485,674.408,643.485,637.114,31.067,0.0488,419633227.0,5298417558.0
399975.SZ,20101015,803.908,671.382,807.082,671.382,668.181,135.727,0.2031,4417030953.0,62602289928.0
399975.SZ,20101022,817.555,819.292,873.637,806.142,803.908,13.647,0.017,4299514580.0,69207029144.0
399975.SZ,20101029,841.719,815.822,912.975,815.822,817.555,24.164,0.0296,3746141431.0,61373175843.0
399975.SZ,20101105,869.623,837.468,885.343,837.468,841.719,27.904,0.0332,2642240460.0,44575966801.0
399975.SZ,20101112,771.913,873.357,881.334,771.433,869.623,-97.71,-0.1124,2514133376.0,40617090387.0
399975.SZ,20101119,724.113,773.646,777.388,696.486,771.913,-47.8,-0.0619,1863205029.0,26596002203.0
399975.SZ,20101126,720.507,713.918,732.808,686.119,724.113,-3.606,-0.005,1565904690.0,21982202168.0
399975.SZ,20101203,702.563,715.813,715.813,679.365,720.507,-17.944,-0.0249,1054947691.0,14410299067.0
399975.SZ,20101210,715.651,703.463,740.528,699.997,702.563,13.088,0.0186,1522559767.0,22182109036.0
399975.SZ,20101217,720.09,718.927,744.458,716.498,715.651,4.439,0.0062,1116760381.0,16398321356.0
399975.SZ,20101224,702.681,721.967,723.193,690.71,720.09,-17.409,-0.0242,1030804641.0,14574397089.0
399975.SZ,20101231,672.519,709.455,720.34,651.507,702.681,-30.162,-0.0429,1103919809.0,15485688068.0
399975.SZ,20110107,688.538,676.355,698.506,671.219,672.519,16.019,0.0238,940153752.0,13291955472.0
