index_code,con_code,trade_date,weight
399975.SZ,000776.SZ,20171031,5.158
399975.SZ,000783.SZ,20171031,2.935
399975.SZ,000987.SZ,20171031,0.322
399975.SZ,002500.SZ,20171031,1.672
399975.SZ,002670.SZ,20171031,0.848
399975.SZ,002673.SZ,20171031,2.435
399975.SZ,002736.SZ,20171031,3.156
399975.SZ,002797.SZ,20171031,0.432
399975.SZ,600030.SH,20171031,13.4
399975.SZ,600061.SH,20171031,1.665
399975.SZ,600109.SH,20171031,2.239
399975.SZ,600369.SH,20171031,1.515
399975.SZ,600837.SH,20171031,11.517
399975.SZ,600909.SH,20171031,1.024
399975.SZ,600958.SH,20171031,4.66
399975.SZ,600999.SH,20171031,4.198
399975.SZ,601099.SH,20171031,2.647
399975.SZ,601198.SH,20171031,1.83
399975.SZ,601211.SH,20171031,8.839
399975.SZ,601375.SH,20171031,0.65
399975.SZ,601377.SH,20171031,3.608
399975.SZ,601555.SH,20171031,2.555
399975.SZ,601688.SH,20171031,6.283
399975.SZ,601788.SH,20171031,2.861
399975.SZ,601881.SH,20171031,0.825
399975.SZ,601901.SH,20171031,3.176
399975.SZ,000166.SZ,20171130,3.357
399975.SZ,000686.SZ,20171130,1.288
399975.SZ,000712.SZ,20171130,0.74
399975.SZ,000728.SZ,20171130,2.422
399975.SZ,000750.SZ,20171130,1.519
399975.SZ,000776.SZ,20171130,5.178
399975.SZ,000783.SZ,20171130,2.912
399975.SZ,000987.SZ,20171130,0.296
399975.SZ,002500.SZ,20171130,1.668
399975.SZ,002670.SZ,20171130,0.973
399975.SZ,002673.SZ,20171130,2.267
399975.SZ,002736.SZ,20171130,2.997
399975.SZ,002797.SZ,20171130,0.365
399975.SZ,600030.SH,20171130,14.863
399975.SZ,600061.SH,20171130,1.199
399975.SZ,600109.SH,20171130,2.254
399975.SZ,600369.SH,20171130,1.428
399975.SZ,600837.SH,20171130,11.379
399975.SZ,600909.SH,20171130,0.861
399975.SZ,600958.SH,20171130,4.779
399975.SZ,600999.SH,20171130,4.309
399975.SZ,601099.SH,20171130,2.522
399975.SZ,601198.SH,20171130,1.783
399975.SZ,601211.SH,20171130,8.973
399975.SZ,601375.SH,20171130,0.558
399975.SZ,601377.SH,20171130,3.649
399975.SZ,601555.SH,20171130,2.532
399975.SZ,601688.SH,20171130,6.203
399975.SZ,601788.SH,20171130,2.883
399975.SZ,601881.SH,20171130,0.757
399975.SZ,601901.SH,20171130,3.086
399975.SZ,000166.SZ,20171229,3.4
399975.SZ,000686.SZ,20171229,1.296
399975.SZ,000712.SZ,20171229,0.801
399975.SZ,000728.SZ,20171229,2.338
399975.SZ,000750.SZ,20171229,1.522
399975.SZ,000776.SZ,20171229,5.195
399975.SZ,000783.SZ,20171229,3.206
399975.SZ,000987.SZ,20171229,0.277
399975.SZ,002500.SZ,20171229,1.647
399975.SZ,002670.SZ,20171229,1.226
399975.SZ,002673.SZ,20171229,2.27
399975.SZ,002736.SZ,20171229,2.809
399975.SZ,002797.SZ,20171229,2.167
399975.SZ,600030.SH,20171229,14.992
399975.SZ,600061.SH,20171229,1.173
399975.SZ,600109.SH,20171229,2.125
399975.SZ,600155.SH,20171229,0.562
399975.SZ,600369.SH,20171229,1.375
399975.SZ,600837.SH,20171229,10.96
399975.SZ,600909.SH,20171229,0.831
399975.SZ,600958.SH,20171229,4.541
399975.SZ,600999.SH,20171229,4.131
399975.SZ,601099.SH,20171229,2.597
399975.SZ,601198.SH,20171229,1.672
399975.SZ,601211.SH,20171229,7.324
399975.SZ,601375.SH,20171229,0.521
399975.SZ,601377.SH,20171229,3.555
399975.SZ,601555.SH,20171229,2.455
399975.SZ,601688.SH,20171229,5.933
399975.SZ,601788.SH,20171229,2.761
399975.SZ,601878.SH,20171229,0.641
399975.SZ,601881.SH,20171229,0.713
399975.SZ,601901.SH,20171229,2.985
399975.SZ,000166.SZ,20180131,2.387
399975.SZ,000686.SZ,20180131,1.229
399975.SZ,000712.SZ,20180131,0.719
399975.SZ,000728.SZ,20180131,2.181
399975.SZ,000750.SZ,20180131,1.446
399975.SZ,000776.SZ,20180131,5.506
399975.SZ,000783.SZ,20180131,3.066
399975.SZ,000987.SZ,20180131,0.258
399975.SZ,002500.SZ,20180131,1.588
399975.SZ,002670.SZ,20180131,1.016
399975.SZ,002673.SZ,20180131,2.169
399975.SZ,002736.SZ,20180131,2.857
399975.SZ,002797.SZ,20180131,2.124
399975.SZ,600030.SH,20180131,16.59
399975.SZ,600061.SH,20180131,1.111
399975.SZ,600109.SH,20180131,2.008
399975.SZ,600155.SH,20180131,0.57
399975.SZ,600369.SH,20180131,1.339
399975.SZ,600837.SH,20180131,11.088
399975.SZ,600909.SH,20180131,0.851
399975.SZ,600958.SH,20180131,4.286
399975.SZ,600999.SH,20180131,4.346
399975.SZ,601099.SH,20180131,2.47
399975.SZ,601198.SH,20180131,1.59
399975.SZ,601211.SH,20180131,7.467
399975.SZ,601375.SH,20180131,0.557
399975.SZ,601377.SH,20180131,3.537
399975.SZ,601555.SH,20180131,2.305
399975.SZ,601688.SH,20180131,6.335
399975.SZ,601788.SH,20180131,2.804
399975.SZ,601878.SH,20180131,0.586
399975.SZ,601881.SH,20180131,0.745
399975.SZ,601901.SH,20180131,2.869
399975.SZ,000166.SZ,20180228,2.533
399975.SZ,000686.SZ,20180228,1.269
399975.SZ,000712.SZ,20180228,0.7
399975.SZ,000728.SZ,20180228,2.159
399975.SZ,000750.SZ,20180228,1.516
399975.SZ,000776.SZ,20180228,5.504
399975.SZ,000783.SZ,20180228,3.237
399975.SZ,000987.SZ,20180228,0.261
399975.SZ,002500.SZ,20180228,1.492
399975.SZ,002670.SZ,20180228,1.027
399975.SZ,002673.SZ,20180228,1.956
399975.SZ,002736.SZ,20180228,2.991
399975.SZ,002797.SZ,20180228,2.03
399975.SZ,600030.SH,20180228,15.959
399975.SZ,600061.SH,20180228,1.167
399975.SZ,600109.SH,20180228,2.015
399975.SZ,600155.SH,20180228,0.571
399975.SZ,600369.SH,20180228,1.425
399975.SZ,600837.SH,20180228,10.962
399975.SZ,600909.SH,20180228,0.904
399975.SZ,600958.SH,20180228,4.482
399975.SZ,600999.SH,20180228,4.38
399975.SZ,601099.SH,20180228,2.366
399975.SZ,601198.SH,20180228,1.703
399975.SZ,601211.SH,20180228,7.506
399975.SZ,601375.SH,20180228,0.578
399975.SZ,601377.SH,20180228,3.59
399975.SZ,601555.SH,20180228,2.292
399975.SZ,601688.SH,20180228,6.323
399975.SZ,601788.SH,20180228,2.823
399975.SZ,601878.SH,20180228,0.553
399975.SZ,601881.SH,20180228,0.734
399975.SZ,601901.SH,20180228,2.991
399975.SZ,000166.SZ,20180330,2.555
399975.SZ,000686.SZ,20180330,1.259
399975.SZ,000712.SZ,20180330,0.79
399975.SZ,000728.SZ,20180330,2.11
399975.SZ,000750.SZ,20180330,1.464
399975.SZ,000776.SZ,20180330,5.563
399975.SZ,000783.SZ,20180330,3.196
399975.SZ,000987.SZ,20180330,0.31
399975.SZ,002500.SZ,20180330,1.498
399975.SZ,002670.SZ,20180330,1.164
399975.SZ,002673.SZ,20180330,1.933
399975.SZ,002736.SZ,20180330,3.05
399975.SZ,002797.SZ,20180330,1.939
399975.SZ,600030.SH,20180330,16.68
399975.SZ,600061.SH,20180330,1.227
399975.SZ,600109.SH,20180330,2.036
399975.SZ,600155.SH,20180330,0.568
399975.SZ,600369.SH,20180330,1.404
399975.SZ,600837.SH,20180330,10.605
399975.SZ,600909.SH,20180330,0.87
399975.SZ,600958.SH,20180330,4.223
399975.SZ,600999.SH,20180330,4.53
399975.SZ,601099.SH,20180330,2.239
399975.SZ,601198.SH,20180330,1.788
399975.SZ,601211.SH,20180330,7.313
399975.SZ,601375.SH,20180330,0.573
399975.SZ,601377.SH,20180330,3.482
399975.SZ,601555.SH,20180330,2.258
399975.SZ,601688.SH,20180330,6.423
399975.SZ,601788.SH,20180330,2.745
399975.SZ,601878.SH,20180330,0.533
399975.SZ,601881.SH,20180330,0.762
399975.SZ,601901.SH,20180330,2.911
399975.SZ,000166.SZ,20180427,2.416
399975.SZ,000686.SZ,20180427,1.244
399975.SZ,000712.SZ,20180427,0.733
399975.SZ,000728.SZ,20180427,2.085
399975.SZ,000750.SZ,20180427,1.367
399975.SZ,000776.SZ,20180427,5.341
399975.SZ,000783.SZ,20180427,3.023
399975.SZ,000987.SZ,20180427,0.284
399975.SZ,002500.SZ,20180427,1.604
399975.SZ,002670.SZ,20180427,1.103
399975.SZ,002673.SZ,20180427,1.867
399975.SZ,002736.SZ,20180427,3.055
399975.SZ,002797.SZ,20180427,1.801
399975.SZ,600030.SH,20180427,17.267
399975.SZ,600061.SH,20180427,1.153
399975.SZ,600109.SH,20180427,2.116
399975.SZ,600155.SH,20180427,0.543
399975.SZ,600369.SH,20180427,1.36
399975.SZ,600837.SH,20180427,10.666
399975.SZ,600909.SH,20180427,0.841
399975.SZ,600958.SH,20180427,4.191
399975.SZ,600999.SH,20180427,4.342
399975.SZ,601099.SH,20180427,2.189
399975.SZ,601198.SH,20180427,1.731
399975.SZ,601211.SH,20180427,7.663
399975.SZ,601375.SH,20180427,0.55
399975.SZ,601377.SH,20180427,3.431
399975.SZ,601555.SH,20180427,2.218
399975.SZ,601688.SH,20180427,6.913
399975.SZ,601788.SH,20180427,2.836
399975.SZ,601878.SH,20180427,0.502
399975.SZ,601881.SH,20180427,0.751
399975.SZ,601901.SH,20180427,2.815
399975.SZ,000166.SZ,20180531,2.56
399975.SZ,000686.SZ,20180531,1.231
399975.SZ,000712.SZ,20180531,0.711
399975.SZ,000728.SZ,20180531,2.064
399975.SZ,000750.SZ,20180531,1.423
399975.SZ,000776.SZ,20180531,5.177
399975.SZ,000783.SZ,20180531,3.004
399975.SZ,000987.SZ,20180531,0.314
399975.SZ,002500.SZ,20180531,1.504
399975.SZ,002670.SZ,20180531,1.102
399975.SZ,002673.SZ,20180531,1.826
399975.SZ,002736.SZ,20180531,3.014
399975.SZ,002797.SZ,20180531,1.728
399975.SZ,600030.SH,20180531,17.957
399975.SZ,600061.SH,20180531,1.169
399975.SZ,600109.SH,20180531,2.032
399975.SZ,600155.SH,20180531,0.497
399975.SZ,600369.SH,20180531,1.441
399975.SZ,600837.SH,20180531,10.38
399975.SZ,600909.SH,20180531,0.834
399975.SZ,600958.SH,20180531,3.933
399975.SZ,600999.SH,20180531,4.427
399975.SZ,601099.SH,20180531,2.253
399975.SZ,601198.SH,20180531,1.913
399975.SZ,601211.SH,20180531,7.723
399975.SZ,601375.SH,20180531,0.531
399975.SZ,601377.SH,20180531,3.356
399975.SZ,601555.SH,20180531,2.165
399975.SZ,601688.SH,20180531,6.736
399975.SZ,601788.SH,20180531,2.85
399975.SZ,601878.SH,20180531,0.47
399975.SZ,601881.SH,20180531,0.72
399975.SZ,601901.SH,20180531,2.957
399975.SZ,000166.SZ,20180629,3.936
399975.SZ,000686.SZ,20180629,1.199
399975.SZ,000712.SZ,20180629,0.596
399975.SZ,000728.SZ,20180629,1.991
399975.SZ,000750.SZ,20180629,1.404
399975.SZ,000776.SZ,20180629,5.233
399975.SZ,000783.SZ,20180629,2.8
399975.SZ,000987.SZ,20180629,0.279
399975.SZ,002500.SZ,20180629,1.524
399975.SZ,002670.SZ,20180629,1.117
399975.SZ,002673.SZ,20180629,1.761
399975.SZ,002736.SZ,20180629,2.983
399975.SZ,002797.SZ,20180629,1.896
399975.SZ,600030.SH,20180629,14.717
399975.SZ,600061.SH,20180629,1.045
399975.SZ,600109.SH,20180629,2.006
399975.SZ,600155.SH,20180629,0.5
399975.SZ,600369.SH,20180629,1.448
399975.SZ,600837.SH,20180629,10.21
399975.SZ,600909.SH,20180629,1.38
399975.SZ,600958.SH,20180629,4.355
399975.SZ,600999.SH,20180629,4.17
399975.SZ,601099.SH,20180629,2.125
399975.SZ,601108.SH,20180629,0.593
399975.SZ,601198.SH,20180629,2.396
399975.SZ,601211.SH,20180629,7.381
399975.SZ,601375.SH,20180629,0.665
399975.SZ,601377.SH,20180629,3.258
399975.SZ,601555.SH,20180629,2.184
399975.SZ,601688.SH,20180629,6.515
399975.SZ,601788.SH,20180629,2.858
399975.SZ,601878.SH,20180629,0.41
399975.SZ,601881.SH,20180629,1.397
399975.SZ,601901.SH,20180629,3.669
399975.SZ,000166.SZ,20180731,4.006
399975.SZ,000686.SZ,20180731,1.188
399975.SZ,000712.SZ,20180731,0.564
399975.SZ,000728.SZ,20180731,1.897
399975.SZ,000750.SZ,20180731,1.394
399975.SZ,000776.SZ,20180731,5.289
399975.SZ,000783.SZ,20180731,2.764
399975.SZ,000987.SZ,20180731,0.285
399975.SZ,002500.SZ,20180731,1.518
399975.SZ,002670.SZ,20180731,1.111
399975.SZ,002673.SZ,20180731,1.748
399975.SZ,002736.SZ,20180731,2.971
399975.SZ,002797.SZ,20180731,1.708
399975.SZ,600030.SH,20180731,14.999
399975.SZ,600061.SH,20180731,1.075
