trade_date,close,market_score,regime,ma20,ma60,atr,grid_lower,grid_upper,target_pos,risk_scale,position,turnover,cost,strategy_ret,benchmark_ret,nav,benchmark_nav,excess_nav
20160217,783.4183,0.12126074968691503,Range,785.8612499999999,943.4752716666666,32.188742857142834,753.6725071428571,818.0499928571428,1.0,0.2714176593591332,0.2714176593591332,0.0007346946692963763,1.4693893385927526e-07,0.0026608924072242723,0.009777756123616532,0.7906106942807356,0.8132448688084172,0.9721680696727351
20160218,782.1057,0.11430672436860895,Range,782.4805549999999,938.3707633333332,32.13389999999998,750.3466549999998,814.6144549999999,1.0,0.2780104857723529,0.2780104857723529,0.006592826413219677,1.3185652826439354e-06,-0.000456072838542321,-0.0016754778385954516,0.790250118217213,0.8118822950533772,0.973355525834269
20160219,787.4679,0.1177010016544917,Range,780.75343,932.9082533333333,32.06098571428571,748.6924442857143,812.8144157142857,1.0,0.28329785517787476,0.28329785517787476,0.00528736940552188,1.0574738811043761e-06,0.0019050120341259646,0.006856106533937867,0.7917555542023863,0.8174486465612811,0.968569166433908
20160222,815.8397,0.12647055235262436,Range,780.2719749999999,928.2697516666666,29.47613571428571,750.7958392857141,809.7481107142856,0.0,0.2747721127844775,0.0,0.28329785517787476,5.665957103557495e-05,0.01015032167548336,0.03602915115651073,0.7997921277658913,0.8469006274109226,0.9443754106204316
20160223,801.8608,0.1183326509234611,Range,777.640595,923.6407483333334,27.894099999999998,749.746495,805.5346949999999,0.0,0.28162835011155685,0.0,0.0,0.0,-0.0,-0.01713437088192682,0.7997921277658913,0.8323895179607274,0.9608387786108882
20160224,807.7883,0.12352662933863293,Range,775.77121,918.7022183333333,26.869778571428576,748.9014314285714,802.6409885714286,0.0,0.28152715388892197,0.0,0.0,0.0,0.0,0.007392180787488378,0.7997921277658913,0.8385426917631034,0.9537882037756051
20160225,735.6388,0.14277530695135085,Range,772.190125,912.474495,28.857592857142865,743.3325321428571,801.0477178571429,1.0,0.2501160913660481,0.2501160913660481,0.2501160913660481,5.0023218273209625e-05,-5.0023218273209625e-05,-0.08931733722808333,0.7997521195897108,0.7636462913827535,1.0472808270195086
20160226,742.8706,0.14816513230547368,Range,768.4030300000001,906.5918883333335,28.746714285714297,739.6563157142857,797.1497442857144,1.0,0.25074259085938727,0.25074259085938727,0.0006264994933391499,1.2529989866783e-07,0.0024586758801655247,0.009830639710684208,0.8017184508362573,0.7711534229397375,1.0396354693985561
20160229,716.9802,0.14748882449311956,Range,763.1935900000001,901.8340766666666,30.10005714285715,733.0935328571429,793.2936471428573,1.0,0.2470280711252456,0.2470280711252456,0.0037145197341416636,7.429039468283327e-07,-0.008739581100512789,-0.034851830184153165,0.7947117674153963,0.7442773147975134,1.0677629851335775
20160301,747.5251,0.14126700668148054,Range,763.216605,897.8035466666666,32.79050000000001,730.426105,796.0071049999999,1.0,0.27645879110015237,0.27645879110015237,0.02943071997490676,5.8861439949813525e-06,0.010518041475921898,0.0426021527512197,0.8030705787464746,0.7759851306517846,1.0349045967825952
20160302,794.0094,0.1633663828643545,Range,766.089635,894.5925599999999,34.88330000000001,731.2063350000001,800.972935,1.0,0.2580108942695995,0.2580108942695995,0.018447896830552868,3.689579366110574e-06,0.017187697550158813,0.06218426645473185,0.8168735129654,0.8242391967811451,0.991063657437659
20160303,789.4506,0.16544508976973493,Range,769.6023,890.2948866666667,34.42064285714287,735.1816571428571,804.0229428571429,1.0,0.2616021729520752,0.2616021729520752,0.003591278682475718,7.182557364951436e-07,-0.001482086190166819,-0.005741493740502368,0.8156628360127209,0.8195068325921494,0.9953093782424368
20160304,794.731,0.14976498987931186,Range,771.26942,886.0727816666666,34.28043571428572,736.9889842857142,805.5498557142857,1.0,0.2789110920604155,0.2789110920604155,0.01730891910834026,3.461783821668052e-06,0.0017463172575219387,0.006688702244320277,0.8170872420995692,0.8249882697825444,0.9904228605758749
20160307,799.6352,0.1524893771364348,Range,773.866525,882.402505,32.829471428571445,741.0370535714286,806.6959964285714,1.0,0.2818011837598579,0.2818011837598579,0.002890091699442432,5.780183398884864e-07,0.001720552499637521,0.006170893044313175,0.8184930835963855,0.8300791841581854,0.986042174309491
20160308,799.6647,0.14854747138326024,Range,775.393755,878.9386466666666,34.421857142857164,740.971897857143,809.8156121428572,1.0,0.28611026578772775,0.28611026578772775,0.004309082027869837,8.618164055739675e-07,9.534342894226783e-06,3.689182267119229e-05,0.8185008873901012,0.8301098072922504,0.9860151996757917
20160309,789.0027,0.150646685284921,Range,776.606405,875.57844,34.34831428571431,742.2580907142857,810.9547192857143,1.0,0.2848728767261427,0.2848728767261427,0.001237389061585048,2.474778123170096e-07,-0.003814980895241835,-0.01333308823060464,0.8153783221419695,0.8190418799905326,0.995527020121846
20160310,763.4643,0.15045015492236316,Range,775.926855,871.7496216666666,35.12869285714288,740.7981621428571,811.055547857143,1.0,0.27909724429950483,0.27909724429950483,0.005775632426637867,1.1551264853275735e-06,-0.00922190617712551,-0.03236795007165383,0.8078589797563143,0.7925311733124055,1.0193403199269069
20160311,774.665,0.15307727483490824,Range,777.0956,868.0023450000001,34.42667142857145,742.6689285714285,811.5222714285715,1.0,0.2855073188115722,0.2855073188115722,0.006410074512067376,1.2820149024134753e-06,0.004093322676142698,0.014670888999001042,0.8111658072372762,0.8041583101843199,1.0087140765247455
20160314,794.0761,0.15970767332929897,Range,779.80134,864.4866816666668,35.596378571428595,744.2049614285714,815.3977185714285,1.0,0.28445326933451764,0.28445326933451764,0.0010540494770545639,2.108098954109128e-07,0.007153863681895668,0.025057411913536942,0.8169687768456666,0.8243084362063022,0.9910959793224794
20160315,788.9888,0.1483758351648217,Range,780.45916,859.38044,35.15539285714288,745.3037671428572,815.6145528571428,1.0,0.2991788665359497,0.2991788665359497,0.014725597201432072,2.9451194402864146e-06,-0.001825313425306057,-0.006406564811609394,0.8154775527692344,0.8190274507849902,0.995665715462463
20160316,791.8458,0.15057314335577568,Range,780.880535,854.8895233333334,30.589450000000006,750.291085,811.4699850000001,1.0,0.29971774599738804,0.29971774599738804,0.0005388794614383241,1.0777589228766482e-07,0.0010832460330505124,0.0036210906922886643,0.8163609155933135,0.8219932234637566,0.9931479874655056
20160317,814.1196,0.16160810931411482,Range,782.4812300000001,850.7061983333333,31.298821428571436,751.1824085714287,813.7800514285715,0.0,0.2944369666659241,0.0,0.29971774599738804,5.994354919947761e-05,0.00837080538044896,0.028128961472044134,0.8231945139379503,0.8451150391768499,0.9740620812283136
20160318,842.8386,0.17152000315456006,Range,785.2497649999999,846.7429383333333,30.792350000000006,754.4574149999999,816.042115,0.0,0.2870884520593855,0.0,0.0,0.0,0.0,0.03527614370173637,0.8231945139379503,0.8749274387433511,0.9408717540283064
20160321,926.7532,0.20723631618622754,Range,790.7954400000001,844.356855,32.83705,757.9583900000001,823.6324900000001,0.0,0.2439901368510986,0.0,0.0,0.0,0.0,0.09956188527673016,0.8231945139379503,0.96203686402498,0.8556787631753116
20160322,899.4257,0.2108934370846215,Range,795.673685,841.20446,31.722664285714277,763.9510207142857,827.3963492857142,0.0,0.24086695321999918,0.0,0.0,0.0,-0.0,-0.029487354346335093,0.8231945139379503,0.9336689421212384,0.881677087884816
20160323,914.9157,0.21613105641222624,Range,801.030055,838.0587916666666,32.757385714285704,768.2726692857143,833.7874407142856,0.0,0.24041674207836083,0.0,0.0,0.0,0.0,0.01722210072494046,0.8231945139379503,0.9497486826861989,0.8667498349244221
20160324,872.8006,0.19912520907279774,Range,807.888145,833.8477866666667,33.981042857142846,773.9071021428572,841.8691878571428,0.0,0.2728113816604136,0.0,0.0,0.0,-0.0,-0.046031672644813004,0.8231945139379503,0.9060301622299455,0.9085729683787591
20160325,882.0503,0.20289316240397406,Range,814.8471299999999,830.5146633333333,33.81742857142856,781.0297014285713,848.6645585714284,0.0,0.272801710786551,0.0,0.0,0.0,0.0,0.010597724153718513,0.8231945139379503,0.9156320199642073,0.8990451360254195
20160328,861.0838,0.20499795352721517,Range,822.05231,826.7582433333333,33.60114999999998,788.4511600000001,855.65346,0.0,0.27809320409598265,0.0,0.0,0.0,-0.0,-0.02377018634878303,0.8231945139379503,0.8938672762227454,0.920935955298151
20160329,857.3698,0.19844265410310716,Range,827.5445450000001,823.6969116666666,33.58605714285712,793.9584878571429,861.1306021428572,0.0,0.2846099876362348,0.0,0.0,0.0,-0.0,-0.004313169055090715,0.8231945139379503,0.8900118755475832,0.9249253145431084
20160330,885.9443,0.1868331852740073,Range,832.1412899999999,820.87092,33.949692857142836,798.1915971428571,866.0909828571428,0.0,0.30223495403646405,0.0,0.0,0.0,0.0,0.03332809249870938,0.8231945139379503,0.9196742736607829,0.8950935537874808
20160331,888.6316,0.1900555631567192,Range,837.10034,818.1354100000001,33.92844285714283,803.1718971428571,871.0287828571428,0.0,0.3033144290231873,0.0,0.0,0.0,0.0,0.003033260668870552,0.8231945139379503,0.9224638854632503,0.8923867122717242
20160401,883.0932,0.19279273976212444,Range,841.5184499999999,815.5509416666666,32.914485714285675,808.6039642857143,874.4329357142856,0.0,0.30208220020338616,0.0,0.0,0.0,-0.0,-0.006232503998282346,0.8231945139379503,0.9167146256088295,0.8979833973863256
20160405,899.7763,0.197367685660755,Range,846.525505,814.8643566666667,33.989792857142824,812.5357121428572,880.5152978571427,0.0,0.3007525844928471,0.0,0.0,0.0,0.0,0.018891663982918194,0.8231945139379503,0.9340328902840582,0.88133354028636
20160406,893.8209,0.20109506956493364,Range,851.2333150000001,814.066025,34.4848214285714,816.7484935714286,885.7181364285715,0.0,0.29974389170611176,0.0,0.0,0.0,-0.0,-0.006618756239745283,0.8231945139379503,0.9278507542633633,0.8872057388060202
20160407,872.4298,0.20412641424694572,Range,855.4046700000001,812.6591433333334,34.077435714285684,821.3272342857144,889.4821057142858,0.0,0.2957193156116224,0.0,0.0,0.0,-0.0,-0.023932199392518227,0.8231945139379503,0.905645245005834,0.9089591299434774
20160408,856.036,0.20342318100398815,Range,860.0332549999999,812.4846466666665,33.096914285714256,826.9363407142857,893.1301692857141,0.0,0.30244727173964975,0.0,0.0,0.0,-0.0,-0.018790967479561216,0.8231945139379503,0.8886272946589101,0.9263664518136645
20160411,880.8088,0.20930162923645054,Range,865.340445,812.3348066666666,30.24027857142855,835.1001664285715,895.5807235714286,0.0,0.2989582099043978,0.0,0.0,0.0,0.0,0.02893896985640798,0.8231945139379503,0.9143432531526257,0.9003123401409727
20160412,878.1996,0.2064557897829214,Range,869.5466200000001,813.347995,28.90906428571427,840.6375557142858,898.4556842857144,0.0,0.30111936206053713,0.0,0.0,0.0,-0.0,-0.0029622773977734385,0.8231945139379503,0.911634714800005,0.9029872388290339
20160413,901.7758,0.21305624832112216,Range,875.1859700000001,814.526875,29.552707142857123,845.633262857143,904.7386771428572,0.0,0.29906106904251767,0.0,0.0,0.0,0.0,0.026846060963817253,0.8231945139379503,0.9361085159302581,0.8793793667392295
